SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532488,DIVI'S LAB. ,A ,Q,3392.00,3392.00,3255.60,3270.40,3270.40,3378.25,2294,17315,57429519.00,
532493,ASTRA MICRO ,A ,Q,135.00,136.50,122.60,126.75,126.75,133.30,1697,105549,13552407.00,
532497,RADICOKHAIT ,A ,Q,550.05,558.25,534.00,539.30,538.75,543.75,1626,76300,41858277.00,
532498,SHRMCITYUN  ,A ,Q,1501.40,1501.40,1450.00,1459.90,1450.00,1491.50,422,2007,2964205.00,
532500,MARUTISUZUK ,A ,Q,7130.00,7240.00,7063.15,7114.15,7114.00,7063.15,5309,40760,292249891.00,
532503,RAJAPAMILLS ,X ,Q,714.05,725.00,696.00,702.20,712.00,721.55,163,4013,2837020.00,
532504,NAVIN FLUORI,A ,Q,2631.00,2652.00,2458.00,2492.00,2492.00,2583.70,1274,8093,20515990.00,
532505,UCOBANK     ,A ,Q,13.95,14.12,12.82,13.04,13.04,13.67,15678,1397783,18588841.00,
532507,BAG FIL MED ,B ,Q,2.40,2.40,2.23,2.23,2.23,2.34,113,285382,640561.00,
532508,JSL         ,A ,Q,69.10,69.10,63.70,65.20,65.20,67.30,391,48739,3187222.00,
532509,SUPRAJIT ENG,A ,Q,295.00,295.00,284.15,286.50,286.05,288.30,1114,19507,5614552.00,
532513,TVSELE      ,T ,Q,140.20,146.00,135.05,137.15,138.35,139.10,125,8001,1144375.00,
532514,INDRA GAS   ,A ,Q,503.00,507.25,480.50,487.15,489.20,500.95,2800,99715,49028686.00,
532515,TV TODAY    ,A ,Q,264.75,269.95,260.15,260.85,260.85,262.65,555,15017,3962393.00,
532521,PALRED      ,T ,Q,95.30,95.70,86.80,88.05,89.00,91.35,79,8458,754822.00,
532522,PETRONET LNG,A ,Q,230.00,230.65,222.60,225.50,225.50,228.80,2704,765538,173268329.00,
532523,BIOCON LTD. ,A ,Q,388.55,393.00,383.55,389.50,389.50,387.95,1189,72458,28206871.00,
532524,PTC INDIA   ,A ,Q,83.20,84.55,79.10,80.00,81.00,83.20,2193,672929,55875210.00,
532525,BANK MAHA   ,A ,Q,20.60,21.15,18.80,19.30,19.30,20.55,4029,1394534,27687285.00,
532527,RK FORGINGS ,A ,Q,509.85,518.65,484.85,509.80,518.20,505.10,429,3582,1791496.00,
532528,DATAM GLOB  ,B ,Q,127.40,128.25,112.20,115.80,116.20,125.65,2007,102870,12213906.00,
532529,NDTV        ,B ,Q,63.45,63.65,58.75,63.45,63.65,60.65,423,27443,1707212.00,
532531,STAR        ,A ,Q,814.95,823.70,765.00,773.25,777.30,810.90,3076,110906,89100487.00,
532532,JAIPRA      ,A ,Q,7.07,7.38,7.06,7.06,7.06,7.43,1412,12175531,86303909.00,
